Species,Type,Dead Code,X,Y,Diam10,Height,dead,DBH,SnagDecayClass
PISY,Adult,Alive,29.0238,42.374,NA,6.53803,0,8.2387,0
PISY,Adult,Alive,30.543,41.1577,NA,6.54304,0,8.2483,0
PISY,Adult,Alive,25.0034,41.9035,NA,6.90297,0,8.9485,0
PISY,Adult,Alive,27.1564,41.5787,NA,7.03384,0,9.20856,0
PISY,Adult,Alive,28.1535,46.5092,NA,7.14223,0,9.42621,0
PISY,Adult,Alive,24.3298,42.8777,NA,7.44777,0,10.0513,0
PISY,Adult,Alive,25.3642,40.5569,NA,7.92073,0,11.0541,0
PISY,Adult,Alive,29.1112,42.7197,NA,8.17392,0,11.6098,0
PISY,Adult,Alive,27.5549,43.487,NA,9.5557,0,14.9086,0
PISY,Adult,Alive,29.9419,42.0745,NA,10.1284,0,16.4302,0
PISY,Adult,Alive,30.8232,43.137,NA,10.3326,0,16.9983,0
PISY,Adult,Alive,29.7941,44.0447,NA,12.9106,0,25.7551,0
PISY,Adult,Alive,31.8326,42.9377,NA,13.539,0,28.5228,0
PISY,Sapling,Alive,31.5953,55.786,3.8324,2.80237,0,2.02132,NA
PISY,Sapling,Alive,24.7259,54.8241,8.53774,4.47386,0,4.59514,NA
PISY,Sapling,Alive,24.0866,52.4013,9.22233,4.70162,0,4.96961,NA
PISY,Sapling,Alive,29.8734,48.9831,10.3268,5.06123,0,5.57374,NA
PISY,Adult,Alive,25.1608,50.2524,NA,6.19145,0,7.58457,0
PISY,Adult,Alive,24.7767,48.2113,NA,6.21965,0,7.6371,0
PISY,Adult,Alive,27.6081,49.4865,NA,6.49949,0,8.16501,0
PISY,Adult,Alive,26.5837,49.0894,NA,6.71391,0,8.57801,0
PISY,Adult,Alive,27.3026,48.3679,NA,6.80268,0,8.7512,0
PISY,Adult,Alive,29.6432,54.7596,NA,6.83879,0,8.82205,0
PISY,Adult,Alive,30.9672,48.5985,NA,7.08545,0,9.31193,0
PISY,Adult,Alive,29.6029,52.0811,NA,7.7427,0,10.6714,0
PISY,Adult,Alive,27.5869,53.0265,NA,8.63665,0,12.6619,0
PISY,Adult,Alive,27.4755,54.9098,NA,10.8073,0,18.377,0
PISY,Adult,Alive,31.1961,54.4184,NA,10.8426,0,18.4829,0
PISY,Adult,Alive,25.63,50.795,NA,12.3949,0,23.7121,0
PISY,Adult,Alive,24.9604,48.0923,NA,13.3528,0,27.6668,0
PISY,Sapling,Alive,25.4188,56.8565,3.34354,2.61758,0,1.75391,NA
PISY,Sapling,Alive,31.4663,59.4683,4.20434,2.94151,0,2.22477,NA
PISY,Sapling,Alive,24.4327,62.1124,4.84744,3.17916,0,2.57655,NA
PISY,Sapling,Alive,26.795,61.9256,6.36285,3.72481,0,3.40548,NA
PISY,Sapling,Alive,24.58,58.5886,6.38546,3.7328,0,3.41785,NA
PISY,Sapling,Alive,27.7434,56.7646,10.0612,4.97563,0,5.42847,NA
PISY,Sapling,Alive,28.8168,63.491,11.4683,5.42297,0,6.19813,NA
PISY,Sapling,Alive,28.2334,56.555,12.5734,5.76382,0,6.80264,NA
PISY,Sapling,Alive,26.1833,57.0558,13.0958,5.92183,0,7.08843,NA
PISY,Adult,Alive,25.4282,57.5754,NA,6.51862,0,8.20156,0
PISY,Adult,Alive,30.1666,59.3298,NA,6.5244,0,8.21261,0
PISY,Adult,Alive,28.8322,57.5742,NA,6.82465,0,8.79429,0
PISY,Adult,Alive,26.7882,56.9791,NA,6.93226,0,9.00644,0
PISY,Adult,Alive,27.894,58.5741,NA,6.9787,0,9.09863,0
PISY,Adult,Alive,28.0153,56.6288,NA,7.05825,0,9.25738,0
PISY,Adult,Alive,26.4497,57.057,NA,7.24229,0,9.62902,0
PISY,Adult,Alive,31.5623,62.8155,NA,9.42435,0,14.5735,0
PISY,Adult,Alive,30.6717,58.7995,NA,9.45846,0,14.66,0
PISY,Adult,Alive,26.8406,61.0472,NA,9.85454,0,15.6898,0
PISY,Adult,Alive,28.6309,61.8723,NA,10.557,0,17.6396,0
PISY,Adult,Alive,26.4165,58.6578,NA,11.0691,0,19.175,0
PISY,Adult,Alive,26.3316,62.5167,NA,11.5781,0,20.8112,0
PISY,Adult,Alive,30.1171,63.7892,NA,12.1731,0,22.887,0
PISY,Sapling,Alive,28.256,69.8246,3.82337,2.79897,0,2.01638,NA
PISY,Sapling,Alive,30.3306,69.2057,7.68461,4.18471,0,4.12848,NA
PISY,Sapling,Alive,30.4973,70.9038,9.82841,4.90015,0,5.30114,NA
PISY,Sapling,Alive,25.1687,70.0393,11.0148,5.28045,0,5.95008,NA
