This dataset contains several plant traits measured for 4 species at two altitudinal stages.
The data were taken in Montellà del Cadi, in the Catalan PyreneeSubalpine, in 2016
stage,species,GLI,PB,LB,SB,RB,LWR,SWR,RWR,RMF,RSR,SLA,WatPot
Montane,Scots pine,7.5,4.54,0.28,0.6,3.66,0.06,0.13,0.81,0.86,missing,61.35,4.9
Montane,Scots pine,9.8,4.74,0.47,1.57,2.7,0.1,0.33,0.57,0.63,1.73,58.52,3.03
Montane,Scots pine,20.7,3.93,1.3,1.72,0.91,0.33,0.44,0.23,0.35,0.53,68.49,4.03
Montane,Scots pine,29.2,12.02,4.42,5.11,2.5,0.37,0.42,0.21,0.33,0.49,76.45,4.3
Montane,Scots pine,10.9,3.48,0.76,1.62,1.1,0.22,0.47,0.32,0.4,0.68,73.4,2.8
Montane,Scots pine,8.7,2.41,0.38,1.25,0.78,0.16,0.52,0.32,0.38,0.62,66.44,3.8
Montane,Scots pine,48.2,8.53,3.85,3.35,1.33,0.45,0.39,0.16,0.28,0.4,56.47,11.3
Montane,Scots pine,35,9.53,3.75,3.71,2.08,0.39,0.39,0.22,0.36,0.56,69.24,10.23
Montane,Scots pine,15.1,3.7,0.74,1.65,1.32,0.2,0.44,0.36,0.45,0.8,66.5,26.3
Montane,Scots pine,11.5,3.98,0.84,1.79,1.35,0.21,0.45,0.34,0.43,0.75,62.86,18.5
Montane,Scots pine,15.7,3.15,1.07,1.19,0.88,0.34,0.38,0.28,0.42,0.74,52.61,4.2
Montane,Scots pine,13.8,3.14,0.81,1.56,0.77,0.26,0.5,0.25,0.33,0.49,57.03,2.7
Montane,Scots pine,10.2,1.85,0.31,0.54,1,0.17,0.29,0.54,0.65,1.84,66.12,4.2
Montane,Scots pine,6.8,1.43,0.22,0.72,0.49,0.16,0.5,0.34,0.41,0.69,71.67,4.9
Montane,Scots pine,17.8,3.89,0.8,1.52,1.57,0.21,0.39,0.4,0.51,1.03,60.34,4.2
Montane,Scots pine,16,3.23,0.75,1.16,1.32,0.23,0.36,0.41,0.53,1.14,50.91,5.2
Montane,Scots pine,13.6,3.1,0.72,1.24,1.13,0.23,0.4,0.36,0.48,0.91,52.39,6.3
Montane,Scots pine,14.9,3.57,0.8,1.13,1.64,0.22,0.32,0.46,0.59,1.45,46.87,4.37
Montane,Mountain pine,19.4,3.89,1.6,1.32,0.97,0.41,0.34,0.25,0.42,0.73,55.63,3.8
Montane,Mountain pine,11.2,2.58,0.43,0.87,1.28,0.17,0.34,0.5,0.6,1.48,77.6,3.1
Montane,Mountain pine,9.6,2.36,0.79,0.75,0.81,0.34,0.32,0.34,0.52,1.08,57.68,3.5
Montane,Mountain pine,14,2.41,0.56,0.8,1.04,0.23,0.33,0.43,0.56,1.3,62.02,3.3
Montane,Mountain pine,51.6,4.54,1.8,2.01,0.73,0.4,0.44,0.16,0.27,0.36,70.17,1.9
Montane,Mountain pine,27.9,3.03,0.87,1.18,0.98,0.29,0.39,0.32,0.45,0.83,53.67,3.8
Montane,Mountain pine,12.1,2.35,0.26,0.45,1.63,0.11,0.19,0.69,0.78,3.6,50.66,4.7
Montane,Mountain pine,11.9,2.7,0.64,0.59,1.47,0.24,0.22,0.55,0.71,2.5,45.35,10.5
Montane,Mountain pine,24.3,4.52,1.83,1.42,1.27,0.41,0.31,0.28,0.47,0.9,57.55,6.8
Montane,Mountain pine,27.6,3.48,1.84,1.32,0.32,0.53,0.38,0.09,0.2,0.24,70.1,4.9
Montane,Mountain pine,9.9,1.75,0.28,0.68,0.78,0.16,0.39,0.45,0.53,1.14,67.47,4.2
Montane,Mountain pine,7.6,1.87,0.39,0.58,0.9,0.21,0.31,0.48,0.61,1.55,81.03,4.6
Montane,Mountain pine,32.8,5.36,2.51,2.02,0.83,0.47,0.38,0.15,0.29,0.41,52.79,4.6
Montane,Mountain pine,24.1,2.42,1.38,0.32,0.72,0.57,0.13,0.3,0.69,2.26,50.58,4.2
Montane,Mountain pine,15.6,3.72,1.41,1.37,0.95,0.38,0.37,0.26,0.41,0.7,57.38,20.9
Montane,Mountain pine,14.5,4.13,1.66,1.4,1.08,0.4,0.34,0.26,0.44,0.77,48.47,28.6
Montane,Mountain pine,13.2,3.43,0.82,1.05,1.56,0.24,0.3,0.46,0.6,1.49,72.55,5.6
Montane,Mountain pine,19.7,2.76,0.32,0.86,1.57,0.12,0.31,0.57,0.65,1.82,49.87,4.9
Montane,Mountain pine,9.2,2.96,0.77,1.08,1.11,0.26,0.37,0.37,0.51,1.03,54.06,2.8
Montane,Mountain pine,11.9,4.63,1.06,1.44,2.13,0.23,0.31,0.46,0.6,1.48,59.61,3.5
Montane,Mountain pine,16,4.66,1.64,1.73,1.29,0.35,0.37,0.28,0.43,0.74,49.57,2.4
Montane,Mountain pine,16.4,1.86,0.67,1.19,missing,missing,missing,missing,missing,missing,64.33,2.6
Montane,Mountain pine,14,2.01,0.27,1.13,0.61,0.14,0.56,0.3,0.35,0.54,61.35,17.06
Montane,Mountain pine,12.6,1.81,0.38,0.87,0.56,0.21,0.48,0.31,0.39,0.64,59.52,1.3
Subalpine,Fir,25.95362752,2.84,1.06,0.93,0.81,0.38,0.33,0.29,0.47,0.88,81.95,18.9
Subalpine,Fir,38.79641485,4.69,1.64,1.84,1.2,0.35,0.39,0.26,0.39,0.65,88.24,16.7
